eventId	programId	channel	start	xEnd	description	primeTime
50433912	366477	1	2012-11-29 20:40:00	2012-11-29 21:00:00	Ep. 7 - Per mostrare come	0
51035563	367489	1	2012-11-29 21:00:00	2012-11-29 21:10:00	In diretta, Ep.7 - A	0
50433916	362838	1	2012-11-29 21:10:00	2012-11-30 00:00:00	In diretta, Ep.7 -	0
50433918	227116	1	2012-11-30 00:05:00	2012-11-30 00:55:00	In diretta, Ep.7 -	0
50433922	111247	1	2012-11-30 01:10:00	2012-11-30 01:40:00	Ep.30 - L'appuntamento	0
50433924	170790	1	2012-11-30 01:50:00	2012-11-30 02:40:00	5' Stagione Ep.10 -	0
50433926	170794	1	2012-11-30 02:40:00	2012-11-30 03:25:00	15' Stagione Ep.1 -	0
50433928	366480	1	2012-11-30 03:25:00	2012-11-30 03:45:00	4' Stagione Ep.7 - In	0
50433930	181483	1	2012-11-30 03:45:00	2012-11-30 04:30:00	7' Stagione Ep.7 - Il	0
50433932	111247	1	2012-11-30 04:30:00	2012-11-30 05:00:00	Ep.30 - L'appuntamento	0
51266227	366490	1	2012-11-30 05:00:00	2012-11-30 05:05:00	'A Muso Duro', il brano	0
50704460	122523	1	2012-11-30 05:05:00	2012-11-30 05:35:00	2' Stagione Ep.44 - I	0
50433938	188493	1	2012-11-30 05:35:00	2012-11-30 05:40:00	Ep. 57 - Politica e	0
50433936	188493	1	2012-11-30 05:40:00	2012-11-30 05:50:00	Ep. 56 - Politica e	0
51266229	188493	1	2012-11-30 05:50:00	2012-11-30 06:00:00	Ep. 55 - Politica e	0
50433940	122523	1	2012-11-30 06:00:00	2012-11-30 06:25:00	2' Stagione Ep.45 - I	0
50433942	177197	1	2012-11-30 06:25:00	2012-11-30 06:50:00	Ep. 11 - Craig Busch e'	0
50433944	177197	1	2012-11-30 06:50:00	2012-11-30 07:15:00	Ep. 12 - Craig Busch e'	0
51287929	366343	1	2012-11-30 07:15:00	2012-11-30 07:20:00	Una rubrica dedicata al	0
50433946	111247	1	2012-11-30 07:20:00	2012-11-30 07:55:00	Ep.30 - L'appuntamento	0
50433948	362411	1	2012-11-30 07:55:00	2012-11-30 08:25:00	Ep.30 - Alessandro	0
50433950	181483	1	2012-11-30 08:25:00	2012-11-30 09:10:00	7' Stagione Ep.7 - Il	0
51254652	368056	1	2012-11-30 09:10:00	2012-11-30 09:25:00	Bruno Barbieri: Chef a 7	0
50433952	366480	1	2012-11-30 09:25:00	2012-11-30 09:45:00	4' Stagione Ep.7 - In	0
51287931	366343	1	2012-11-30 09:45:00	2012-11-30 09:50:00	Una rubrica dedicata al	0
50433954	366481	1	2012-11-30 09:50:00	2012-11-30 10:10:00	Ep. 7 - Per mostrare come	0
50433958	170794	1	2012-11-30 10:10:00	2012-11-30 10:55:00	15' Stagione Ep.1 -	0
50433960	170790	1	2012-11-30 10:55:00	2012-11-30 11:50:00	5' Stagione Ep.10 -	0
50433962	111247	1	2012-11-30 11:50:00	2012-11-30 12:25:00	Ep.30 - L'appuntamento	0
50433964	362411	1	2012-11-30 12:25:00	2012-11-30 12:55:00	Ep.30 - Alessandro	0
51035557	367504	1	2012-11-30 12:55:00	2012-11-30 13:05:00	Ep.7 - A pochi minuti	0
50433966	361505	1	2012-11-30 13:05:00	2012-11-30 15:55:00	Ep.7 - L'attesissima	0
50704462	367136	1	2012-11-30 15:55:00	2012-11-30 16:15:00	L'hanno definita la	0
50433968	181483	1	2012-11-30 16:15:00	2012-11-30 17:05:00	7' Stagione Ep.8 - Il	0
51300928	368056	1	2012-11-30 17:05:00	2012-11-30 17:20:00	Joe Bastianich: Affari di	0
50433976	170790	1	2012-11-30 17:20:00	2012-11-30 18:15:00	5' Stagione Ep.11 - 'Rock	0
50433978	170794	1	2012-11-30 18:15:00	2012-11-30 19:10:00	15' Stagione Ep.2 -	0
50433980	226504	1	2012-11-30 19:10:00	2012-11-30 19:45:00	Ep.31 - L'appuntamento	0
50433982	364633	1	2012-11-30 19:45:00	2012-11-30 20:10:00	Ep.5 - Il magazine di	0
50433984	362376	1	2012-11-30 20:10:00	2012-11-30 20:40:00	Ep.31 - Alessandro	0
50433986	362411	1	2012-11-30 20:40:00	2012-11-30 21:00:00	Ep.21 - Alessandro	0
50433988	188675	1	2012-11-30 21:00:00	2012-11-30 21:10:00	Ep. 58 - Politica e	0
50433990	237578	1	2012-11-30 21:10:00	2012-11-30 22:00:00	2' Stagione Ep.10 - Scott	0
